Date,Open,High,Low,Close,Volume,RSI
2021-02-19,365.6059113182269,365.6059113182269,354.7105384832225,359.8894958496094,104767,
2021-02-22,361.5506724620124,365.94791037033417,351.7301863950317,353.5867919921875,153006,0.0
2021-02-23,355.5900057256477,357.98406966996856,350.4598942626871,354.5639953613281,119176,13.423294263628279
2021-02-24,355.6877130832334,359.1566335215698,354.9059937739599,357.6908874511719,49635,39.43667341133691
2021-02-25,360.4758126257211,363.0164451236973,358.4237621534834,360.5246887207031,65905,52.3986558123669
2021-02-26,357.6420100676445,360.4757795931161,352.80503652780294,354.2707824707031,70704,35.5889830243145
2021-03-01,359.1077710433926,361.5506810504905,351.77904102209885,356.567138671875,108266,42.37671960932325
2021-03-02,356.5671549170551,366.2410730217703,356.5671549170551,359.694091796875,209811,49.60790293285912
2021-03-03,362.5278571163503,388.9112860709095,361.110957336815,380.8985290527344,789733,72.77537592616854
2021-03-04,375.5730162869882,414.3175657002452,373.27667475823984,410.8974914550781,1615614,83.50445408404627
2021-03-05,414.3175472873975,419.2033674205036,390.8656106484882,396.67974853515625,580800,70.36234045564748
2021-03-08,403.47103535914965,412.7540939509908,396.8263316637882,405.8162231445313,320710,73.08445701036106
2021-03-09,407.33085269931206,410.2134688428126,390.8656319876942,393.6994018554688,189909,65.1488587247088
2021-03-10,395.26289661571127,399.3181218529472,389.8884938187115,393.2108459472656,142479,64.86487737511516
2021-03-12,397.1683713545939,415.7833360460069,396.093484850738,406.74456787109375,485696,68.65033889785494
2021-03-15,410.6043343991084,437.7694823106492,407.7705348758218,428.9750061035156,993743,76.63099008916879
2021-03-16,433.8608341205928,436.79232624302927,420.3759822856572,427.118408203125,420435,75.47169164449085
2021-03-17,430.53848684312544,431.3202061556685,396.7286047137306,401.9075622558594,264370,63.439260034282405
2021-03-18,408.014805709396,409.382859130524,377.1852942357551,387.6409606933594,353306,57.706182839995485
2021-03-19,381.3382444642508,386.6149240096781,371.3223136359136,381.2893981933594,207500,57.674170256659174
2021-03-22,384.0254510084718,392.28249871542414,379.1396310210867,384.61175537109375,123636,57.919430814016614
2021-03-23,385.1980807989619,390.86562036599673,380.6542441056629,384.2209167480469,99883,57.03475982496057
2021-03-24,383.04829890522825,385.9309447155675,371.42005293831255,373.8140869140625,99552,47.833879537489715
2021-03-25,375.71958286456487,375.9150276057706,362.0392859592231,367.8534240722656,112443,34.57091850240987
2021-03-26,371.2734764239873,372.8857910715582,365.0684790147988,368.83056640625,91553,38.970572949777896
2021-03-30,371.3222889701784,376.94098150064815,359.5963219500675,365.1661682128906,173767,33.17149417341122
2021-03-31,368.3908293241929,376.2081413522924,366.436501317168,369.4168395996094,70003,39.24705564377173
2021-04-01,372.20176844876494,380.8008296985721,369.8565807699736,378.748779296875,87162,44.0609777035859
2021-04-05,378.1624770305565,378.1624770305565,366.729646029268,371.5666198730469,71732,34.758657018712285
2021-04-06,372.2995307243026,376.6967692761645,369.0749010478769,370.2963562011719,95287,18.934314881164724
2021-04-07,369.367988675796,373.7652266362221,366.4853429734674,367.5113830566406,92976,18.750001999920002
2021-04-08,369.3680341179206,380.0679930662761,369.3680341179206,374.6447143554688,164690,32.364127527232185
2021-04-09,376.5990146423465,376.89218174643565,370.4917393989876,372.88580322265625,66795,38.61239459628276
2021-04-12,369.2702274462534,369.3679497992242,346.20915371687573,349.3360900878906,136031,30.51251871423267
2021-04-13,351.77902881583685,372.29947216342737,344.743436311249,356.5182800292969,77204,33.636906905487066
