Date,Open,High,Low,Close,Volume,RSI
2021-03-04,56.849998474121094,56.849998474121094,54.150001525878906,55.0,76943,
2021-03-05,55.20000076293945,55.29999923706055,52.650001525878906,53.400001525878906,55511,0.0
2021-03-08,54.75,54.75,52.400001525878906,53.25,30125,0.0
2021-03-09,52.400001525878906,55.900001525878906,52.400001525878906,55.900001525878906,122849,60.2272865200783
2021-03-10,57.400001525878906,57.5,53.150001525878906,55.20000076293945,120347,51.960790913544784
2021-03-12,56.0,56.45000076293945,52.599998474121094,53.5,41672,38.970593185158585
2021-03-15,54.54999923706055,56.0,52.650001525878906,55.54999923706055,37076,53.107339518744816
2021-03-16,55.54999923706055,58.29999923706055,55.54999923706055,58.29999923706055,102185,64.22413183591149
2021-03-17,60.95000076293945,61.20000076293945,60.0,61.20000076293945,61227,71.37930735113017
2021-03-18,63.79999923706055,64.25,58.5,64.05000305175781,242804,76.08069126247746
2021-03-19,65.0,65.6500015258789,60.849998474121094,64.69999694824219,173614,76.94443596733942
2021-03-22,63.650001525878906,64.94999694824219,61.95000076293945,62.45000076293945,50838,68.39506707746096
2021-03-23,62.5,63.04999923706055,59.599998474121094,59.900001525878906,36442,60.74561953874947
2021-03-24,60.900001525878906,62.79999923706055,57.29999923706055,61.79999923706055,76341,63.76518446846349
2021-03-25,62.75,62.75,58.75,58.75,32552,56.75675861441359
2021-03-26,59.900001525878906,61.650001525878906,56.0,58.79999923706055,56384,60.30534184428431
2021-03-30,59.0,59.5,56.099998474121094,57.45000076293945,34174,57.66423774315745
2021-03-31,57.900001525878906,59.04999923706055,56.0,56.45000076293945,31193,51.06796015824704
2021-04-01,56.04999923706055,57.95000076293945,54.79999923706055,56.04999923706055,27430,51.669938763965625
2021-04-05,56.79999923706055,57.04999923706055,54.099998474121094,55.95000076293945,17399,55.13627273644778
2021-04-06,56.0,56.70000076293945,55.349998474121094,55.900001525878906,19257,50.80092104479819
2021-04-07,56.0,58.400001525878906,54.79999923706055,56.79999923706055,28547,46.24999713897487
2021-04-08,56.79999923706055,59.29999923706055,56.79999923706055,57.150001525878906,21477,38.39540801882823
2021-04-09,57.150001525878906,58.900001525878906,57.0,58.150001525878906,31501,31.08971835277282
2021-04-12,57.95000076293945,60.0,56.099998474121094,57.79999923706055,34242,27.450975503396947
2021-04-13,55.79999923706055,61.75,55.79999923706055,56.95000076293945,29113,30.215818650858992
