Price,Close,High,Low,Open,Volume,RSI
Ticker,BARBEQUE.NS,BARBEQUE.NS,BARBEQUE.NS,BARBEQUE.NS,BARBEQUE.NS,
Date,,,,,,
2021-04-07,587.7999877929688,587.7999877929688,481.8500061035156,489.8500061035156,5427365,
2021-04-08,705.3499755859375,705.3499755859375,645.0,661.0,1934876,100.0
2021-04-09,722.5999755859375,833.7000122070312,666.0,748.75,4120915,100.0
2021-04-12,688.3499755859375,721.7999877929688,645.0,670.0,1205691,79.73972051276034
2021-04-13,687.6500244140625,706.25,674.0,691.0,290357,79.41091974170703
2021-04-15,693.2999877929688,703.0,656.8499755859375,668.7999877929688,309883,80.07413304975516
2021-04-16,669.6500244140625,695.75,661.1500244140625,686.0,136359,70.56018383231128
2021-04-19,648.7000122070312,654.8499755859375,626.75,638.0,146563,63.84092231940381
2021-04-20,642.0,658.7000122070312,628.7999877929688,650.0,98595,61.954132879011134
2021-04-22,634.5499877929688,648.6500244140625,626.0,633.0,96633,59.98292109713704
2021-04-23,640.9000244140625,657.6500244140625,628.4000244140625,634.4000244140625,147515,61.03951145469021
2021-04-26,635.9000244140625,649.9500122070312,631.0999755859375,640.9000244140625,50993,59.79634390621616
2021-04-27,642.9000244140625,652.7999877929688,628.5499877929688,630.0999755859375,209234,60.91090097823063
2021-04-28,635.25,644.0,629.0499877929688,641.4000244140625,178821,59.11974224226984
2021-04-29,630.9000244140625,641.1500244140625,629.0499877929688,634.0,62237,58.147456817905436
2021-04-30,622.9000244140625,638.7999877929688,620.0,626.0499877929688,99837,23.39465080553039
2021-05-03,611.5999755859375,631.0,609.7000122070312,618.0,120156,12.75167785234899
2021-05-04,608.2999877929688,624.0,603.4500122070312,614.0,137022,16.094876717244077
2021-05-05,607.75,614.8499755859375,593.6500244140625,608.0,195015,16.1153486561397
2021-05-06,593.8499755859375,619.0,590.6500244140625,619.0,152506,10.582661576133262
2021-05-07,579.5999755859375,594.9000244140625,570.2000122070312,590.0,162064,11.43470891880844
2021-05-10,576.5499877929688,585.0,565.0,579.5999755859375,213179,13.505334782286553
2021-05-11,565.5,589.0,562.5,571.5,87206,12.93607281630915
2021-05-12,564.0,570.5999755859375,560.0499877929688,560.0499877929688,84568,13.727535467836532
2021-05-14,565.0499877929688,573.9500122070312,553.0,565.0,117014,8.75474358268022
2021-05-17,560.9000244140625,573.9000244140625,552.3499755859375,573.9000244140625,124027,8.836432437212835
2021-05-18,608.9500122070312,625.25,555.9500122070312,563.5,368949,37.15474021370393
2021-05-19,595.4500122070312,614.0,587.0,614.0,212506,35.57970818990434
2021-05-20,595.2000122070312,618.0,585.7999877929688,599.0,282810,36.66914788243505
2021-05-21,623.4000244140625,628.0,596.4500122070312,603.0,257572,50.16223234237996
2021-05-24,637.7999877929688,651.9500122070312,620.75,631.0,249597,58.333343039948936
2021-05-25,750.2000122070312,765.3499755859375,650.0,657.0,2044826,76.64289587715771
2021-05-26,892.1500244140625,900.2000122070312,707.2999877929688,737.5,2908650,84.87859436781822
2021-05-27,877.5499877929688,953.3499755859375,845.0,870.0,1802294,84.73310940821747
2021-05-28,849.5,895.0,815.0,885.0,574861,81.96353098394698
2021-05-31,850.3499755859375,886.4500122070312,845.0,870.0,208176,82.59524137881925
2021-06-01,826.6500244140625,857.0499877929688,822.0,854.9000244140625,120549,80.18029392811152
2021-06-02,804.7000122070312,829.0,773.0,829.0,258125,76.56147181639501
2021-06-03,822.0999755859375,846.0,802.2000122070312,802.7000122070312,108364,77.37778761840882
2021-06-04,850.3499755859375,878.0,820.0,834.9000244140625,248984,79.32326959030323
2021-06-07,856.9000244140625,874.4000244140625,850.0999755859375,867.8499755859375,110995,77.42506568992411
2021-06-08,849.5,861.8499755859375,835.25,859.5,64139,78.48413284435864
2021-06-09,837.6500244140625,873.75,830.75,854.4000244140625,254668,76.49437424056217
2021-06-10,837.7000122070312,853.9500122070312,835.0,843.25,50264,74.9534240881931
2021-06-11,825.5,847.7000122070312,822.3499755859375,843.0,90006,71.9686337597841
2021-06-14,818.4500122070312,839.75,808.5,834.0,143946,60.60276606759855
2021-06-15,825.5999755859375,865.0,814.0,831.7000122070312,104536,32.21061884876001
2021-06-16,827.4500122070312,833.6500244140625,816.0,828.0,56661,35.62822815882454
2021-06-17,874.2999877929688,909.7000122070312,812.0,825.0,461847,56.42154292265283
2021-06-18,920.5999755859375,943.75,822.7999877929688,884.0,620902,64.72438096183555
2021-06-21,946.5999755859375,980.0,905.0,919.7000122070312,339706,74.90138329473812
2021-06-22,914.5,972.0,905.0,972.0,130049,71.87251284717401
2021-06-23,882.7000122070312,924.0,879.9000244140625,919.0999755859375,122861,61.41673793951815
2021-06-24,891.5999755859375,928.0,860.0,886.0,190525,58.38244508818783
2021-06-25,892.2000122070312,915.0,888.0499877929688,908.0,112040,57.35110378090176
2021-06-28,885.0999755859375,916.9500122070312,875.7000122070312,900.0,112389,57.422849553638926
2021-06-29,879.25,905.0,875.0499877929688,890.0,44287,58.896490294676155
2021-06-30,888.9500122070312,917.0,880.0,880.0,90932,60.52577742433344
2021-07-01,897.2999877929688,914.0,886.25,894.5999755859375,72078,64.98330830534402
2021-07-02,882.2000122070312,912.2000122070312,877.25,912.2000122070312,53938,62.87099235587662
2021-07-05,884.8499755859375,898.0499877929688,876.6500244140625,896.9500122070312,36932,62.18384203096164
2021-07-06,907.0999755859375,950.0,882.0499877929688,893.5999755859375,251504,65.11098538420904
2021-07-07,903.1500244140625,924.7999877929688,894.0,914.5,43720,56.5375158327771
2021-07-08,912.7000122070312,948.0,905.0499877929688,905.0499877929688,157543,47.85210163241803
