Price,Close,High,Low,Open,Volume,RSI
Ticker,DHANI.NS,DHANI.NS,DHANI.NS,DHANI.NS,DHANI.NS,
Date,,,,,,
2020-08-24,192.5,203.8000030517578,181.25,181.25,3183277,
2020-08-25,199.75,202.39999389648438,191.1999969482422,195.0,2270286,100.0
2020-08-26,200.8000030517578,208.8000030517578,198.25,205.0,3241773,100.0
2020-08-27,200.0,240.9499969482422,195.60000610351562,203.0,3526556,91.20876356941403
2020-08-28,214.89999389648438,218.0,202.35000610351562,206.3000030517578,4323495,96.66665395100911
2020-08-31,196.75,216.39999389648438,188.0,214.39999389648438,5898148,55.041519116749484
2020-09-01,195.39999389648438,205.0,193.0,197.10000610351562,1179760,53.33332631779814
2020-09-02,200.39999389648438,204.35000610351562,195.0,197.3000030517578,911651,58.14432360462306
2020-09-03,210.14999389648438,213.9499969482422,199.5,205.0,2121661,65.15020935320547
2020-09-04,205.0,209.0,200.0,202.14999389648438,1024223,59.85804511307148
2020-09-07,202.5,210.0,200.5,201.5,1386826,57.587254116979125
2020-09-08,205.5,210.0,197.60000610351562,202.0,1644906,59.43396309985981
2020-09-09,204.35000610351562,205.39999389648438,200.0,204.0,842700,58.45824994184015
2020-09-10,221.35000610351562,229.89999389648438,203.39999389648438,205.3000030517578,3477190,66.57094207303606
2020-09-11,218.14999389648438,229.8000030517578,216.0500030517578,223.85000610351562,1511748,64.21052293434036
2020-09-14,214.14999389648438,229.14999389648438,208.5500030517578,215.39999389648438,3190092,58.275858561197914
2020-09-15,218.14999389648438,220.39999389648438,214.64999389648438,215.4499969482422,1373496,59.644242041892376
2020-09-16,226.39999389648438,229.0,218.35000610351562,219.25,2374452,63.5523591123332
2020-09-17,227.3000030517578,234.39999389648438,224.10000610351562,225.0,2028176,57.43405743048973
2020-09-18,226.4499969482422,230.6999969482422,225.10000610351562,228.75,2799068,72.46595109663565
2020-09-21,218.1999969482422,227.60000610351562,215.0,226.4499969482422,2058620,65.61643718219136
2020-09-22,210.8000030517578,218.0,182.35000610351562,216.35000610351562,2819875,56.89655695787542
2020-09-23,215.85000610351562,219.85000610351562,209.0,213.5500030517578,1361693,54.03112533441994
2020-09-24,217.0,224.0,211.25,213.9499969482422,1937211,58.995500602573365
2020-09-25,225.4499969482422,227.8000030517578,216.3000030517578,218.10000610351562,3178700,65.79490299801037
2020-09-28,238.75,244.39999389648438,221.64999389648438,230.0,3615270,70.04219114339176
2020-09-29,242.89999389648438,251.3000030517578,236.25,241.39999389648438,2936711,72.42581868406944
2020-09-30,249.9499969482422,253.5,240.0,242.60000610351562,1758054,68.8157796727673
2020-10-01,264.8999938964844,267.45001220703125,250.64999389648438,253.8000030517578,2558725,76.63817663817665
2020-10-05,267.6499938964844,274.79998779296875,263.6000061035156,271.0,2451959,80.92485549132948
2020-10-06,273.1499938964844,275.0,262.3500061035156,268.8500061035156,1064347,81.25
2020-10-07,265.70001220703125,277.20001220703125,264.45001220703125,274.8999938964844,859727,72.53441890074401
2020-10-08,252.5,267.0,244.1999969482422,267.0,1596351,62.663316991346655
2020-10-09,244.75,251.89999389648438,241.5,251.0,609670,58.5996272208247
2020-10-12,239.89999389648438,251.39999389648438,236.75,240.14999389648438,653382,60.533980661630075
2020-10-13,238.1999969482422,244.8000030517578,232.0,238.1999969482422,716617,64.08016306989937
2020-10-14,237.5500030517578,240.0,221.64999389648438,239.0,649920,61.6792260162249
2020-10-15,231.5500030517578,244.5,228.0,235.0,727931,57.442457965736956
2020-10-16,230.5,236.0,216.10000610351562,232.35000610351562,997641,52.79468929910389
2020-10-19,226.64999389648438,234.9499969482422,225.0,233.60000610351562,465005,42.52162730753837
2020-10-20,224.75,227.9499969482422,223.0,225.0,394025,38.46154144628887
2020-10-21,219.9499969482422,232.10000610351562,218.25,225.1999969482422,983547,30.366490578096446
2020-10-22,215.9499969482422,224.0,207.5,218.5,1050049,12.605042604546014
