Date,Open,High,Low,Close,Volume,RSI
2022-11-11,287.0,319.8999938964844,287.0,308.45001220703125,36271420,
2022-11-14,306.70001220703125,307.8999938964844,283.0,300.95001220703125,7021355,0.0
2022-11-15,292.0,295.6000061035156,277.3999938964844,278.79998779296875,2809423,0.0
2022-11-16,279.0,286.79998779296875,266.1499938964844,270.20001220703125,1846883,0.0
2022-11-17,269.8999938964844,273.70001220703125,260.0,261.04998779296875,1025856,0.0
2022-11-18,262.75,274.8500061035156,260.29998779296875,267.29998779296875,1162040,11.649575313821813
2022-11-21,268.0,271.0,260.3999938964844,261.8999938964844,538570,10.584247353033746
2022-11-22,262.25,264.29998779296875,250.10000610351562,251.3000030517578,522794,8.973437442149688
2022-11-23,252.25,261.8500061035156,251.60000610351562,253.25,525846,11.452508727983982
2022-11-24,255.0,262.29998779296875,252.4499969482422,258.0,613962,16.961356795027015
2022-11-25,259.29998779296875,267.0,257.6000061035156,260.5,660754,19.5941607511852
2022-11-28,261.95001220703125,264.6499938964844,258.79998779296875,260.1000061035156,361035,19.49526428800276
2022-11-29,259.79998779296875,260.0,252.64999389648438,254.35000610351562,502522,18.176466997931996
2022-11-30,256.6499938964844,258.0,252.8000030517578,254.14999389648438,221833,18.133796636906055
2022-12-01,255.4499969482422,257.5,254.0,254.8000030517578,214179,18.753642512877548
2022-12-02,254.64999389648438,264.8500061035156,253.39999389648438,259.29998779296875,469185,24.86419954995324
2022-12-05,260.6000061035156,261.29998779296875,256.5,257.8999938964844,196689,33.172301036123784
2022-12-06,259.0,259.0,253.5,254.35000610351562,194532,36.108668277866755
2022-12-07,255.0,255.9499969482422,251.3000030517578,251.75,167035,40.79208572966969
2022-12-08,253.0,253.3000030517578,249.0,249.39999389648438,275324,30.793987902982863
2022-12-09,247.0,256.5,241.0,242.25,1152808,29.679416940388762
2022-12-12,241.0500030517578,242.0,233.0,233.75,424357,31.027017468267474
2022-12-13,230.5500030517578,234.6999969482422,225.0,225.75,471315,23.7093628885157
2022-12-14,226.89999389648438,234.9499969482422,226.5,229.0,471311,21.45668605454479
2022-12-15,230.39999389648438,233.4499969482422,225.35000610351562,227.89999389648438,357993,17.00403832860023
2022-12-16,228.0,243.1999969482422,227.10000610351562,241.5500030517578,740012,35.19553045412731
2022-12-19,242.8000030517578,249.5,235.85000610351562,240.5500030517578,429066,38.08290080339225
2022-12-20,238.64999389648438,246.39999389648438,235.10000610351562,239.75,503625,37.69231290898771
2022-12-21,240.9499969482422,242.9499969482422,225.0,230.10000610351562,393250,31.703701828274603
2022-12-22,230.5,234.5,210.5500030517578,215.0,656386,21.638934487244157
2022-12-23,217.0,220.0,199.6999969482422,200.4499969482422,684640,18.520554881381955
2022-12-26,201.5,210.0,201.10000610351562,207.0500030517578,727852,24.92047390578098
2022-12-27,208.10000610351562,215.9499969482422,208.10000610351562,210.75,549569,28.51153589749167
2022-12-28,210.9499969482422,230.89999389648438,209.0500030517578,228.0500030517578,661931,40.32624072874911
2022-12-29,229.1999969482422,233.5500030517578,217.8000030517578,219.60000610351562,601203,39.8566999804294
2022-12-30,220.6999969482422,227.14999389648438,220.5500030517578,224.64999389648438,302283,45.79482205320663
2023-01-02,225.8000030517578,227.0,222.0500030517578,224.35000610351562,129093,49.30348562363962
2023-01-03,225.39999389648438,228.10000610351562,222.0,223.0,136761,46.95740383945774
2023-01-04,222.5500030517578,223.14999389648438,209.0500030517578,210.35000610351562,496808,42.033595657998085
2023-01-05,212.0,220.0,212.0,215.60000610351562,346310,37.24815683548113
2023-01-06,216.64999389648438,217.0,211.0,212.6999969482422,132331,36.565360471063066
2023-01-09,213.64999389648438,215.89999389648438,212.3000030517578,212.9499969482422,164383,37.0029071621743
2023-01-10,213.5,214.0,207.5,209.10000610351562,193972,39.20863173966526
2023-01-11,210.10000610351562,218.1999969482422,208.14999389648438,217.0500030517578,410129,51.13699586108422
2023-01-12,218.0,221.85000610351562,213.9499969482422,215.3000030517578,226258,59.599231280310455
2023-01-13,216.10000610351562,220.0,212.5,217.0,269376,56.86680576847783
2023-01-16,216.9499969482422,218.35000610351562,212.64999389648438,213.6999969482422,149704,52.04718811436239
2023-01-17,213.9499969482422,218.60000610351562,212.0,214.39999389648438,155297,37.691598359809895
2023-01-18,214.9499969482422,216.8000030517578,211.0,212.64999389648438,124274,42.871777889484356
2023-01-19,212.3000030517578,215.4499969482422,211.10000610351562,213.5500030517578,125612,37.55606152098682
2023-01-20,213.60000610351562,216.6999969482422,211.39999389648438,212.1999969482422,150448,36.69221608045408
2023-01-23,213.3000030517578,215.0,210.0,211.6999969482422,142094,37.38839031026088
2023-01-24,214.0,214.0,208.60000610351562,210.6999969482422,183376,50.52788951443002
2023-01-25,210.5500030517578,211.0,205.0,207.39999389648438,150028,36.85895993786936
