Price,Close,High,Low,Open,Volume,RSI
Ticker,SWANENERGY.NS,SWANENERGY.NS,SWANENERGY.NS,SWANENERGY.NS,SWANENERGY.NS,
Date,,,,,,
2020-08-24,132.11351013183594,135.2555167459487,131.71453241259513,134.65703494706312,114237,
2020-08-25,132.56236267089844,137.64941225529964,130.36795479489126,132.56236267089844,194830,100.0
2020-08-26,132.66212463378906,135.65450338492715,131.66466505007637,132.66212463378906,180512,100.0
2020-08-27,132.56236267089844,134.55728168909118,130.76694773054436,133.06109242544662,121123,84.61357431987197
2020-08-28,130.06871032714844,136.15321925359711,127.57506923288202,136.15321925359711,255021,17.46051788107772
2020-08-31,128.02392578125,131.3654057880935,125.6798899988183,131.3654057880935,163637,10.577101284702707
2020-09-01,130.16845703125,131.76439822462325,125.6798895474138,127.92417328933189,144198,36.73467688727842
2020-09-02,130.06871032714844,134.2580523263551,127.77456569523143,133.85905940165628,124423,36.24159144483412
2020-09-03,129.91909790039062,131.21579827468722,127.92417893071092,130.6671925140205,105844,35.52632903188146
2020-09-04,129.6697235107422,130.66718292236328,127.7246807020856,128.6722640991211,112294,34.39487715140932
2020-09-07,126.12874603271484,129.8692190183827,125.38065143558129,129.17100043839608,115359,23.68421935458764
2020-09-08,125.08141326904297,128.27328799127417,123.78471297407225,126.52772638957754,117192,21.68675735069604
2020-09-09,120.14398956298828,125.28090733178195,116.10428329414005,125.08141848270739,157662,15.517255779583905
2020-09-10,117.05186462402344,122.08903787712423,115.85491633121318,118.79741865687853,138983,13.17074553980521
2020-09-11,117.99945831298828,120.54297539479107,116.55313751587362,117.70021742806475,227223,17.016354919402147
2020-09-14,118.4981918334961,121.1913294437979,117.10174700926062,118.24882695809734,154263,17.20937082983947
2020-09-15,117.65034484863281,122.68751836197056,116.80250579658909,122.68751836197056,120794,16.179777830183156
2020-09-16,117.30122375488281,119.09665371639068,116.45338478806404,118.2488147495719,115956,16.000006798951603
2020-09-17,116.25389862060547,118.39843028883561,115.90478173506898,117.40097086732897,116857,17.1021530440685
2020-09-18,115.40532684326172,119.7979187196239,114.45692970001664,117.60162658971608,151614,18.135359483243917
2020-09-21,114.85625457763672,116.70313758568237,107.81812399261159,115.00599587883382,151620,7.944732658968633
2020-09-22,114.4569320678711,117.30213117301358,109.81476109814037,114.80634114805584,179172,7.8161121425505655
2020-09-23,114.75642395019531,117.60163071277526,113.25894991369927,117.60163071277526,128783,9.358796396649893
2020-09-24,114.90616607666016,115.80465196869204,112.80970407295001,114.00768018462828,117249,10.216081503322982
2020-09-25,114.80633544921875,117.60162318503565,113.35878035321669,115.00599559468581,120020,12.542144948840473
2020-09-28,124.0906753540039,129.2819152357716,115.30549196703954,115.80464994092284,194622,47.878554611151664
2020-09-29,122.24378967285156,124.73957964262434,118.35036341324329,124.63974956714273,132115,55.18213200508074
2020-09-30,124.73958587646484,129.73116606546378,120.39691263534515,121.84447546008299,136236,69.54802924080754
2020-10-01,125.73790740966797,128.48327663360436,122.5932178463968,125.73790740966797,117065,69.62638631644045
2020-10-05,126.48663330078125,129.23200228227572,123.59152301353343,126.08731299671022,100397,70.0067220198313
