Date,Open,High,Low,Close,Volume,RSI
2024-01-23,457.21001741954643,514.8582370072284,442.30099511238734,461.28515625,16154100,
2024-01-24,467.0996669737458,476.93961533415313,449.30820995608514,452.14093017578125,2599376,0.0
2024-01-25,453.1348709515383,463.96875424563956,427.9386176106236,461.4839172363281,1854715,50.537563409041766
2024-01-29,464.16756355304415,471.07542272392556,444.33855164942275,448.5627746582031,939452,29.74682006900578
2024-01-30,448.5130750971752,448.5130750971752,433.4549690579161,447.37005615234375,1036781,28.658525169619722
2024-01-31,448.16519607129715,459.8936449321885,441.8040194061861,455.96759033203125,960173,43.54642532274169
2024-02-01,457.1106176402387,478.0826484082186,447.76763639896564,472.3675231933594,1145404,59.6203538327287
2024-02-02,478.2814322779101,486.97836167580704,472.11902445726435,483.05230712890625,905769,65.93884803987294
2024-02-05,489.66198846015163,529.7672649603239,487.02806722431285,522.0642700195312,1808132,78.32329119655776
2024-02-06,541.694465167336,556.3550034448006,513.367323410879,520.9212036132812,1007735,77.49767259128677
2024-02-07,521.8158028342507,539.0108638232235,512.1249379244717,524.797607421875,504433,78.27431235785922
2024-02-08,524.7975866344772,548.3538540766318,524.7975866344772,544.3284301757812,614528,81.49262692821543
2024-02-09,550.0932609506674,550.1926301707791,513.2679864837972,520.076416015625,675982,68.831571263064
2024-02-12,523.7042683639443,523.7042683639443,469.13722378864344,494.8304443359375,397824,59.24909790305585
2024-02-13,486.97837533200357,536.4266324381384,485.48747310769795,511.9757995605469,759109,62.76913662721197
2024-02-14,498.75647221459013,501.93707571847267,473.1129664197881,485.2389831542969,481066,57.65869615661701
2024-02-15,491.55044154124033,508.89461587545753,469.6341914085033,505.11767578125,434641,59.62719402493444
2024-02-16,499.9492147419785,510.4352149658994,471.57238774796696,490.5565185546875,760855,59.19877618027756
2024-02-19,491.00379320674136,491.3019615149668,469.1372275173723,471.7711486816406,378025,54.962599967303916
2024-02-20,473.1129772587621,489.4632172823157,455.9676015072628,486.5310974121094,551661,56.06389197110804
2024-02-21,489.0159375,514.7091286494092,482.8038447980183,509.3916015625,852098,57.16208211471587
2024-02-22,507.5031259477633,516.8461072037967,495.37710899191154,507.95037841796875,232300,54.99501270150927
2024-02-23,511.82673657663764,514.5103726653505,499.50192081030923,510.6340026855469,215022,47.31559059844999
2024-02-26,499.0546627125009,534.7369155059756,499.0546627125009,509.9879150390625,786285,47.4262987040043
2024-02-27,509.9879300756014,520.4739909215562,490.6062314865082,512.77099609375,343575,47.154282036928876
2024-02-28,524.7478848673516,541.1478089134107,500.39648249593046,510.7333679199219,908672,41.33332472577988
2024-02-29,507.45342023519055,517.7406822242424,493.38924832105903,510.0873718261719,404284,47.0656956920937
2024-03-01,515.8521571950046,515.8521571950046,504.02433923333047,506.7576599121094,346099,54.02144366608037
2024-03-04,512.8206702460643,512.8206702460643,495.9734633170317,505.9128112792969,137444,47.70332113968318
2024-03-05,500.8437573072146,505.5152631648687,488.32017231928745,502.2352600097656,312015,57.80107888959983
2024-03-06,501.9370868685624,501.9370868685624,485.0401948353633,498.40863037109375,159872,46.388456835026396
2024-03-07,497.0668125639293,505.6643427425891,491.5007714716665,496.8183288574219,194706,53.91791636131588
2024-03-11,496.8183091575683,499.40254566927194,474.2062927620059,488.61834716796875,155558,62.1505112225983
2024-03-12,487.02806956583976,487.92260485160676,469.6838945472872,472.9638977050781,197601,40.33972730378066
2024-03-13,474.8523703385792,479.2753925144963,442.797971712898,451.5445861816406,490707,7.948053884178577
2024-03-14,445.28278145938185,457.209998819901,442.8476291152829,446.7239990234375,163160,7.575833188131938
2024-03-15,446.72402219898447,457.21002253945005,442.3506846739244,454.0294189453125,113732,13.13921936550345
2024-03-18,455.86818320086485,464.5651125720399,441.207645118027,456.1663818359375,320312,15.619112674826255
2024-03-19,463.024522339291,471.3735684069396,444.53732940433053,453.0851745605469,189817,12.017706821367653
2024-03-20,449.8051971843095,458.65124147664517,445.08400672080893,448.4634094238281,124561,11.635037780931526
2024-03-21,455.12275174828176,464.1675647510408,451.59429524130485,461.98089599609375,311055,24.418583139324852
2024-03-22,455.22214661431923,481.11413648853767,455.22214661431923,477.1383972167969,168586,36.00938008847312
2024-03-26,477.0887171057462,486.97838077041087,467.44753714790744,483.3504943847656,131726,39.85701185732575
2024-03-27,483.0523089928421,504.4715916310337,483.0523089928421,494.880126953125,167058,46.91151124033939
2024-03-28,492.09712978547805,506.90675236655323,488.2704747060182,502.5831298828125,128045,51.69764516423684
2024-04-01,500.9431353282715,508.89461366681553,494.97952657436355,505.9624938964844,196231,53.6653259742039
2024-04-02,500.8934551482039,510.435204972794,489.2147212352587,491.60015869140625,140723,51.13895566899365
2024-04-03,490.506825905503,502.8813263516137,482.75414656521775,493.1407470703125,641297,58.63829197898553
2024-04-04,490.7056082010782,521.8157543766353,490.60620865755766,518.13818359375,437666,77.6631011175333
2024-04-05,518.8836282898174,560.579203521626,518.8836282898174,553.1743774414062,740471,85.34655199039852
2024-04-08,550.5902143912542,550.5902143912542,521.815788763583,528.3260498046875,203745,72.09579668779783
2024-04-09,533.4447948587145,535.4326643676608,512.9697025175905,524.6981811523438,158978,70.20218649434376
2024-04-10,531.7551325015378,545.6205354726554,516.8957947033143,523.7042846679688,145111,71.07687145428005
2024-04-12,516.0012716798332,541.4956627029193,502.43403749918076,506.7576599121094,215214,66.20614035831935
2024-04-15,496.9673900754868,505.3661511007554,480.41838205246955,496.6195068359375,175453,59.8141376956104
2024-04-16,491.10318864631734,506.01221058255965,491.0534737070402,495.6255798339844,104188,55.695042037726026
2024-04-18,493.88619303259327,506.9067448994482,487.02804902103844,489.3140869140625,146577,51.83598145970179
2024-04-19,480.31899066597623,491.9977245311086,477.3371862748786,480.5674743652344,334314,45.51681168137079
2024-04-22,485.9347352989211,489.01593935730335,476.24387064702336,481.66082763671875,123802,43.163369055734364
2024-04-23,488.86683212797783,492.4450034355465,478.08263359880556,480.6668701171875,137971,41.60343396471827
2024-04-24,492.39530821532844,503.4279908836182,477.6850848792646,499.1540832519531,220989,52.4405974088514
2024-04-25,504.07402671030155,505.91281215299273,492.54437698766606,501.1419372558594,125915,52.57765466979991
2024-04-26,505.6643409549983,506.9067594831433,482.80384003713107,505.56494140625,230704,45.33039284090286
2024-04-29,500.94316865067117,535.4327203713204,499.1043830960716,516.9454956054688,239037,33.676689698869026
2024-04-30,516.8957784345249,519.0824471183277,503.9249414820337,506.70794677734375,127710,38.78287631840972
