Date,Open,High,Low,Close,Volume,RSI
2021-02-19,460.7263472675159,465.43162565641614,448.276921236881,455.4819030761719,104433,
2021-02-22,450.9236757488138,470.1369513942409,450.9236757488138,462.0007019042969,114208,
2021-02-23,469.9408867027729,470.0879210490626,461.6576327638477,464.5494079589844,121334,
2021-02-24,469.49977466630094,475.2833548611681,451.9039369553383,469.8918762207031,51177,
2021-02-25,470.5290510352588,474.0089935090345,463.7161705176382,468.12738037109375,170290,89.09085763341855
2021-02-26,461.8046680462016,470.2349862639362,456.364157899001,461.5596008300781,114551,63.36213027597294
2021-03-01,467.6372277931012,472.7346376143161,463.22601811085246,467.5882263183594,109952,71.03919963002406
2021-03-02,469.9408837383784,470.4310181665402,460.9224282094615,468.12738037109375,109157,71.57192968573484
2021-03-03,469.7938678130786,485.2821043840921,457.7365723737204,471.5093383789063,217985,74.51278925293889
2021-03-04,467.0981027374456,473.3718173367721,463.02999303037353,470.1859436035156,138267,71.61381139334077
2021-03-05,472.5385932993331,472.5385932993331,461.31453277065407,470.0879211425781,110685,71.40803415194459
2021-03-08,472.4895900688351,475.3813951692465,464.451373458338,467.8333129882813,148832,66.98114553325613
2021-03-09,490.0854270922935,499.2509169741882,463.2750678664841,470.8231201171875,267488,69.48941479145553
2021-03-10,476.4106638551041,476.4106638551041,470.038916293256,471.1172180175781,90462,69.71571152161833
2021-03-12,467.09812376605686,480.03768501599046,461.755646375907,467.1471252441406,96547,63.3707987793531
2021-03-15,469.4507260514093,469.4507260514093,459.2559364338297,463.3730773925781,89284,51.678654030785395
2021-03-16,468.5685017500726,468.5685017500726,458.8638462952388,465.8237609863281,87650,51.56250233862724
2021-03-17,465.8237774549885,466.6079805822313,458.8638625178394,463.9612426757813,192621,42.049936877312966
2021-03-18,463.8632288917863,465.5786993685821,449.9433993424699,461.363525390625,96361,41.13111691953589
2021-03-19,461.3635481914585,465.33365515464953,449.208219909668,460.7263793945313,86515,48.70625318070386
2021-03-22,465.5296737556538,468.9116132752032,454.64868347039857,462.5888671875,133617,41.083952431490964
2021-03-23,459.7461024739239,467.5882534756113,455.5799597542774,462.9319763183594,168735,40.66907024492159
2021-03-24,462.6868920776932,467.09810185385766,452.3940692666428,456.4131774902344,127522,25.632906715899352
2021-03-25,456.413178141824,458.7658173760509,449.9433978111268,456.2661437988281,79457,26.644765138884736
2021-03-26,465.6276845068724,465.6276845068724,455.4328948712816,460.2362060546875,86064,35.37114896077556
2021-03-30,459.9911573056027,460.1872230415378,442.8364524513714,449.5513000488281,93004,28.288689235764892
2021-03-31,442.88547698762267,458.66781225835,442.88547698762267,454.1585693359375,42617,30.941717808540403
2021-04-01,459.55003808684586,459.55003808684586,451.9529542815752,456.9523315429688,25413,34.67654875290937
2021-04-05,459.3539565678583,459.3539565678583,451.4137734619883,455.5309143066406,22765,36.70030258348998
2021-04-06,457.6385165306884,458.66778685234925,442.8364509797136,444.3068542480469,38400,31.35185764465129
2021-04-07,446.6105030902922,447.7868077848625,427.69129595277786,432.8377075195313,66475,22.57535461667706
2021-04-08,438.1801605831838,438.1801605831838,429.3577412425828,431.0732116699219,39259,22.612210708652924
2021-04-09,432.5436117280081,435.2393509512421,427.39720048365217,429.1126708984375,46244,22.854751823475084
2021-04-12,422.4958613356998,426.6620038198685,400.096712820083,410.7326354980469,42849,17.59844016334138
2021-04-13,412.8892453516415,425.9268088936048,408.33097133562535,420.1922302246094,27212,24.985532423037384
2021-04-15,422.2998283989267,424.8975649054778,404.3609195696464,410.2915344238281,30978,22.089381446835432
2021-04-16,409.7523643289296,409.7523643289296,404.0668171728341,405.78228759765625,28070,22.57035089558248
2021-04-19,405.7823117151822,405.8313131926317,393.0878178508341,399.1654968261719,21476,21.091799913108915
2021-04-20,395.63654259169,409.8994434294195,395.63654259169,404.8020629882813,18774,22.401197018878534
2021-04-22,397.0578731964942,422.9369939521797,397.0578731964942,416.4181823730469,101053,33.65568159510755
2021-04-23,421.4176002587516,423.1821022536856,414.4576849843948,419.3100280761719,19020,32.51353308964842
2021-04-26,421.3685553312705,421.3685553312705,412.69317035148464,414.31060791015625,12063,29.06640458797513
2021-04-27,410.5365905224066,418.2317071299804,408.821120001024,410.68365478515625,11560,28.45031998500744
2021-04-28,412.6931825062652,414.5556873230885,406.8115694539193,408.0859069824219,16495,31.022083616883023
2021-04-29,406.8115919052511,410.2915345204362,403.9197866954142,404.7530212402344,11701,33.913540517722055
2021-04-30,401.9101977818642,411.2227511451025,401.9101977818642,404.5079040527344,13224,34.514279371016016
2021-05-03,403.8707781644784,437.8370888401279,403.2336093761888,420.5843505859375,293204,45.73112125280079
2021-05-04,420.2902746201351,423.3781155526252,407.3507136744037,408.7231140136719,48820,48.923901071065536
2021-05-05,406.8115703308143,416.8593259835633,403.6746980632958,405.0960998535156,18422,41.37739293164805
2021-05-06,406.321465128449,413.67348198843297,403.8707928417877,405.5372619628906,11237,46.955455548181384
