Date,Open,High,Low,Close,Volume,RSI
2021-03-04,1095.6609995871954,1129.927446140304,1095.6609995871954,1117.8909912109375,619135,
2021-03-05,1117.257477803764,1123.592359049765,1089.1819595866593,1095.1427001953125,397465,0.0
2021-03-08,1099.4044272503968,1108.5901553359602,1089.7579696123603,1094.5379638671875,278576,0.0
2021-03-09,1097.3885887363967,1106.689528288014,1085.58255972416,1094.9698486328125,231458,1.8157929852293506
2021-03-10,1097.8206164052901,1106.8911316620845,1091.3416598271042,1097.1583251953125,279294,10.088638649459057
2021-03-12,1102.9749169713994,1133.238748928229,1097.3885568577996,1105.278564453125,1252340,31.503249252582393
2021-03-15,1108.3307905027395,1108.3307905027395,1062.2583224968268,1076.1375732421875,464879,16.98531711253277
2021-03-16,1085.2082794297837,1087.799958012568,1066.9232924008948,1084.6900634765625,623024,26.87542511222962
2021-03-17,1084.6899261020371,1088.4621114062707,1041.5832746456015,1048.58056640625,499322,17.88109140401113
2021-03-18,1059.1197542767015,1062.4600734745309,1026.2067536316968,1031.591552734375,1045598,15.448608736705367
2021-03-19,1016.4739202225762,1066.0018069152156,1012.47142964526,1061.2794189453125,726176,31.68781282921597
2021-03-22,1065.425921192766,1077.4335119710468,1047.5728022599978,1058.9757080078125,780189,31.222483499826467
2021-03-23,1060.5017790176212,1080.9753181021883,1054.8003265364282,1067.095947265625,471341,34.60732329677825
2021-03-24,1056.4418699903672,1071.876130709636,1033.0888573311413,1039.5965576171875,830602,29.6634481848955
2021-03-25,1036.6306375481226,1046.305837669773,1023.7014678363797,1038.0703125,737171,29.430106383581105
2021-03-26,1045.8450922018667,1053.9077987680578,1035.3347825624862,1042.24560546875,359141,34.92531415089678
2021-03-30,1050.567440521346,1071.0121172043896,1045.3843235357813,1055.462646484375,391107,39.61107537483602
2021-03-31,1066.0019350798605,1071.1851729769953,1054.0519483108474,1061.9705810546875,287122,41.50109847822724
2021-04-01,1065.425992817995,1075.0723305191464,1056.7873438053714,1070.1771240234375,211872,43.259973580243
2021-04-05,1068.1902219450947,1072.9127295883723,1040.201292110207,1050.6827392578125,257817,37.09505505064174
2021-04-06,1051.4313432509773,1059.09092654181,1023.7303254261757,1028.5390625,672186,38.364118488580075
2021-04-07,1031.4475554263029,1040.2589039947625,1025.7173584300335,1031.3612060546875,396877,36.58751045380248
2021-04-08,1031.4473494144122,1069.1980655585617,1025.7458967596558,1060.38671875,616148,53.07902521517775
2021-04-09,1068.3055095075365,1101.1321616214364,1060.4156205102086,1064.85009765625,1805759,59.28007182796168
2021-04-12,1041.8713707023373,1057.3632362264407,989.2911378959147,996.1732177734375,619387,35.07986684197276
2021-04-13,996.8931384071681,1029.2589988971042,991.1340791214383,1019.23828125,370572,41.684772918734645
2021-04-15,1013.5943932175172,1049.1276929576266,991.9978918302899,1046.2193603515625,1021140,45.951082774801314
2021-04-16,1045.585972849012,1078.7868831105484,1040.2012937436452,1064.130126953125,1073713,54.941980982450445
2021-04-19,1031.5338593957406,1047.8031083678723,1021.0811558601691,1032.77197265625,484238,49.047225178332475
