Date,Open,High,Low,Close,Volume,RSI
2024-02-15,329.0,345.45001220703125,329.0,345.45001220703125,2864400,
2024-02-16,362.70001220703125,362.70001220703125,362.70001220703125,362.70001220703125,142800,100.0
2024-02-19,380.79998779296875,380.79998779296875,380.79998779296875,380.79998779296875,160800,100.0
2024-02-20,381.0,399.79998779296875,361.79998779296875,399.79998779296875,1694400,100.0
2024-02-21,405.0,419.75,382.29998779296875,412.95001220703125,686400,100.0
2024-02-22,405.0,410.0,392.29998779296875,392.29998779296875,477600,76.57400034620045
2024-02-23,385.0,403.0,373.29998779296875,382.8999938964844,368400,69.1952714812582
2024-02-26,386.0,399.5,367.25,394.0,283200,72.34237316318769
2024-02-27,399.70001220703125,399.79998779296875,378.25,389.54998779296875,189600,69.49600411434024
2024-02-28,392.95001220703125,409.0,390.20001220703125,409.0,525600,73.97207256987613
2024-02-29,409.0,417.0,377.0,389.3999938964844,505200,64.44297266576714
2024-03-01,398.0,413.8500061035156,388.1499938964844,393.6000061035156,274800,65.39813662304942
2024-03-04,387.95001220703125,394.95001220703125,343.79998779296875,357.3999938964844,393600,53.103084073000616
2024-03-05,355.0,355.0,320.6000061035156,326.6000061035156,488400,45.78016556139825
2024-03-06,326.8999938964844,326.8999938964844,291.5,311.6499938964844,494400,42.90809755427882
2024-03-07,311.6499938964844,343.0,311.6499938964844,339.75,228000,45.394339888414585
2024-03-11,343.6000061035156,351.0,298.0,301.8999938964844,242400,35.329126093380566
2024-03-12,301.45001220703125,308.8500061035156,275.0,291.04998779296875,300000,29.14670199642802
2024-03-13,292.20001220703125,297.0,252.0,258.6000061035156,390000,22.442427714333746
2024-03-14,250.0,310.29998779296875,235.0,294.6499938964844,372000,33.474364566685054
2024-03-18,309.0,310.0,290.0,294.3500061035156,75600,34.5381567193336
2024-03-19,311.0,315.0,288.0,293.54998779296875,139200,31.80583328395393
2024-03-20,293.54998779296875,296.0,272.0,275.5,108000,30.312449822215243
2024-03-21,283.6000061035156,292.95001220703125,274.0,277.3500061035156,259200,25.804082882618104
2024-03-22,283.0,283.0,267.0,268.8500061035156,228000,26.901708727009492
2024-03-26,272.8999938964844,278.0,256.5,257.95001220703125,326400,24.659070242880702
2024-03-27,263.0,284.0,263.0,276.95001220703125,357600,33.93891244336213
2024-03-28,283.95001220703125,332.29998779296875,283.95001220703125,332.29998779296875,481200,51.03636042218133
2024-04-01,359.95001220703125,398.75,355.0,397.8999938964844,463200,63.24274676789151
2024-04-02,407.0,407.0,362.0,379.45001220703125,282000,56.28164871440814
2024-04-03,372.0,395.0,366.0,376.3999938964844,156000,63.246801731210844
2024-04-04,380.0,390.95001220703125,368.0,373.20001220703125,140400,65.01554494781386
2024-04-05,371.0,371.0,361.0,363.6499938964844,104400,70.9555162859061
2024-04-08,367.0,377.0,340.0,350.0,184800,62.124866046866714
2024-04-09,349.95001220703125,385.0,338.0,374.79998779296875,420000,65.91493400655943
2024-04-10,378.0,402.0,366.1499938964844,392.8500061035156,417600,68.38889435819209
2024-04-12,402.0,432.1000061035156,399.0,424.5,909600,76.26939577342267
2024-04-15,424.5,443.75,396.0,408.75,591600,72.08403485302682
2024-04-16,410.0,447.95001220703125,403.0,442.3500061035156,468000,76.89088858188418
2024-04-18,460.0,464.45001220703125,458.0,464.45001220703125,133200,80.93169675729236
2024-04-19,469.0,487.6499938964844,469.0,487.6499938964844,258000,81.16863915876934
2024-04-22,512.0,512.0,512.0,512.0,33600,79.26710296531454
2024-04-23,537.5999755859375,537.5999755859375,537.5999755859375,537.5999755859375,28800,76.1610482503539
2024-04-24,544.0,544.0,510.75,510.75,148800,73.83805469362409
2024-04-25,485.25,531.0,485.25,500.5,636000,71.95683478874996
2024-04-26,508.0,514.5,485.0,510.1000061035156,201600,73.68512255237646
2024-04-29,533.0,535.5999755859375,530.5,535.5999755859375,91600,78.19315075087071
2024-04-30,562.3499755859375,562.3499755859375,562.3499755859375,562.3499755859375,26800,83.38311971183646
2024-05-02,590.4500122070312,590.4500122070312,551.0,590.4500122070312,533200,83.55376393305372
2024-05-03,600.0,619.9500122070312,598.0,619.9500122070312,225600,84.1195966433961
2024-05-06,650.9000244140625,650.9000244140625,588.9500122070312,650.9000244140625,337600,84.08612482048753
