PE Ratio,Price to Book,Median PE last 50 days,Sales Growth Last 4 Quarters,Profit Growth Last 4 Quarters,Debt To Equity,PEG Ratio,FCF,Ticker
169.54677,0.7369168,N/A - Requires daily EPS or specialized API,"[np.float64(-0.9308317230775625), np.float64(-17.691154422788603), np.float64(2.6898715652184095), np.float64(40.00754024194342)]","[np.float64(-55.906562847608456), np.float64(-170.04830917874395), np.float64(52.13371266002845), np.float64(-281.73201206376564)]",23.868,,1851000000.0,RAYMONDLSL.NS
2.2542925,0.79560065,N/A - Requires daily EPS or specialized API,"[np.float64(55.739442189065215), np.float64(-24.622706182750296), np.float64(-30.666708916041767), np.float64(0.9128534943826004)]","[np.float64(-98.63599478468595), np.float64(-233.0083223429897), np.float64(-180.79181291992955), np.float64(-1846.6116197484387)]",,,21918300000.0,RELINFRA.NS
22.47038,2.994197,N/A - Requires daily EPS or specialized API,"[np.float64(1.0506162502730736), np.float64(5.2024617385447876), np.float64(4.540351667731679), np.float64(1.776026362165469)]","[np.float64(-9.399970848364646), np.float64(4.95571389447962), np.float64(-1.0020621344782124), np.float64(17.291180778536518)]",319.17,,-16901968000.0,AAVAS.NS
44.661156,1.6244327,N/A - Requires daily EPS or specialized API,"[np.float64(21.202003338898166), np.float64(-13.214730954546985), np.float64(-52.423013417547004), np.float64(156.74363090093425)]","[np.float64(-82.43136219640972), np.float64(-841.2915851272016), np.float64(-137.10965867828614), np.float64(-176.35859519408504)]",24.627,,-10306000000.0,IFCI.NS
19.3377,2.1849968,N/A - Requires daily EPS or specialized API,"[np.float64(4.240729235052987), np.float64(28.00682213996201), np.float64(-16.828709104077248), np.float64(-6.894137751904207)]","[np.float64(-1.3871392856450706), np.float64(11.576261474089371), np.float64(-5.248707927613213), np.float64(-9.960106076328836)]",7.022,,4941820000.0,CIEINDIA.NS
42.61905,4.7707887,N/A - Requires daily EPS or specialized API,"[np.float64(-18.41944896510686), np.float64(-7.362122097656873), np.float64(4.076145184591245), np.float64(-5.19717959135529)]","[np.float64(-91.3813305559172), np.float64(-54.32869544535617), np.float64(30.044461627682196), np.float64(-20.376185198867134)]",5.071,,455630000.0,EASEMYTRIP.NS
18.866266,2.2806232,N/A - Requires daily EPS or specialized API,"[np.float64(-10.567659574468086), np.float64(-0.742530347443381), np.float64(6.3211215994108185), np.float64(0.9053669500280945)]","[np.float64(-5.956168257334747), np.float64(-31.401551891367603), np.float64(-18.55435963266515), np.float64(28.97350993377483)]",19.0,,5811600000.0,ROUTE.NS
26.955782,4.4225316,N/A - Requires daily EPS or specialized API,"[np.float64(1.9206711310618882), np.float64(2.512070006035003), np.float64(1.345565749235474), np.float64(1.5449111093859171)]","[np.float64(3.1746031746031744), np.float64(10.387984981226534), np.float64(2.6332691072575463), np.float64(-1.3932868904369855)]",3.076,,5281000000.0,ZENSARTECH.NS
37.960453,1.053399,N/A - Requires daily EPS or specialized API,"[np.float64(1.875406989364011), np.float64(17.45359983683459), np.float64(-14.811919033967511), np.float64(-4.242575492887447)]","[np.float64(32.77777777777778), np.float64(104.93358633776091), np.float64(2535.0), np.float64(-98.46390168970814)]",11.8,,-1197100000.0,MANALIPETC.NS
,,N/A - Requires daily EPS or specialized API,[],[],,,,NDRINVIT.NS
34.848164,2.6242733,N/A - Requires daily EPS or specialized API,"[np.float64(-21.464758572062777), np.float64(19.65253800365585), np.float64(-3.2425323497399927), np.float64(14.875143263987775)]","[np.float64(-51.4058106841612), np.float64(129.70936490850377), np.float64(-45.86247086247086), np.float64(39.73941368078176)]",42.674,,577900000.0,SOMANYCERA.NS
42.021347,7.026669,N/A - Requires daily EPS or specialized API,"[np.float64(-10.334657127586954), np.float64(11.509933852989597), np.float64(1.6044407839269643), np.float64(2.2248218441789662)]","[np.float64(-38.097302409899704), np.float64(15.70591498772619), np.float64(10.514689825469082), np.float64(23.96222682644955)]",9.359,,317852000.0,THEJO.NS
27.24058,3.6032512,N/A - Requires daily EPS or specialized API,"[np.float64(6.69200174025091), np.float64(10.51138864039115), np.float64(11.317606595637029), np.float64(5.665665913139951)]","[np.float64(-1.5966963351374466), np.float64(38.7698697729615), np.float64(32.06714509609833), np.float64(28.07733449546373)]",372.147,,-43770610000.0,CGCL.NS
,5.894533,N/A - Requires daily EPS or specialized API,"[np.float64(113.64718633573492), np.float64(-56.14400400272235), np.float64(20.70493882813048), np.float64(1.1817650976061849)]","[np.float64(-32.06326909851777), np.float64(-60.783867426140645), np.float64(122.3953038262756), np.float64(-74.22011135078348)]",288.133,,21182705000.0,CENTRUM.NS
37.87768,5.990416,N/A - Requires daily EPS or specialized API,"[np.float64(26.295634072004763), np.float64(10.210360872930377), np.float64(2.7381960144281132), np.float64(-4.538496115834917)]","[np.float64(-28.88013248478673), np.float64(61.58209386098347), np.float64(-14.751892733175668), np.float64(3.4751546798525816)]",92.251,,-1282639000.0,CCL.NS
27.17513,7.8422794,N/A - Requires daily EPS or specialized API,"[np.float64(4.803911627854576), np.float64(0.20999153259949194), np.float64(1.8981880931837791), np.float64(4.950196196800483)]","[np.float64(-15.004595842700363), np.float64(49.25454545454546), np.float64(-10.436713545521837), np.float64(18.50877192982456)]",1.489,,6153560000.0,INDIAMART.NS
70.90395,3.2943091,N/A - Requires daily EPS or specialized API,"[np.float64(-2.6159566215047163), np.float64(19.1168382899436), np.float64(-13.17420408917319), np.float64(12.320719107833176)]","[np.float64(-89.62900897444958), np.float64(-329.9286253119016), np.float64(-238.01946512551737), np.float64(73.39628930118876)]",6.792,,15470305000.0,RELIGARE.NS
,1.0285051,N/A - Requires daily EPS or specialized API,"[np.float64(2.1390113762779412), np.float64(-0.182740054259943), np.float64(4.614234640402016), np.float64(12.30832087704153)]","[np.float64(-631.407082315111), np.float64(-36.4914392239195), np.float64(157.41207347043363), np.float64(-87.59406571981228)]",35.191,,16921370000.0,EQUITASBNK.NS
,2.122296,N/A - Requires daily EPS or specialized API,"[np.float64(30.26627907805915), np.float64(95.77584987705637), np.float64(316.84242752394783), np.float64(1063.633687123699)]","[np.float64(-630.6465297810962), np.float64(-151.73609586936482), np.float64(-103.99028570978163), np.float64(739.2548437362185)]",38.156,,4361245000.0,DBREALTY.NS
120.48626,4.301717,N/A - Requires daily EPS or specialized API,"[np.float64(-2.703663687440606), np.float64(-8.686330936455828), np.float64(31.716943927324753), np.float64(9.049507259197648)]","[np.float64(385.93530239099863), np.float64(-87.4768824306473), np.float64(-47412.5), np.float64(-100.7549543881724)]",174.033,,146760000.0,LANDMARK.NS
17.60677,2.5606163,N/A - Requires daily EPS or specialized API,"[np.float64(2.2188584080624842), np.float64(28.594084277716092), np.float64(33.19419821278514), np.float64(3.668714173880306)]","[np.float64(-6.636311620372434), np.float64(62.73584477853794), np.float64(13.580378327707749), np.float64(-28.075799373195593)]",38.338,,-753275000.0,SANGHVIMOV.NS
58.610855,4.5176177,N/A - Requires daily EPS or specialized API,[],[],,,30000000.0,REMUS.NS
11.427497,1.1345323,N/A - Requires daily EPS or specialized API,"[np.float64(12.323356950130547), np.float64(15.895254533505696), np.float64(-18.663909823017686), np.float64(0.9555741628496676)]","[np.float64(1.909533573692083), np.float64(2.025206069124189), np.float64(-14.778885950452429), np.float64(35.86751025844845)]",1.544,,627619000.0,SRHHYPOLTD.NS
13.0541315,1.9891737,N/A - Requires daily EPS or specialized API,"[np.float64(19.420710709033713), np.float64(-16.481141755542428), np.float64(-7.038385940571164), np.float64(4.475448450806305)]","[np.float64(95.03381234150466), np.float64(-49.29275610801543), np.float64(-25.35594304911214), np.float64(10.578453918273482)]",16.487,,4695500000.0,IMFA.NS
18.214392,4.179965,N/A - Requires daily EPS or specialized API,"[np.float64(2.473390775468829), np.float64(-8.266691463641436), np.float64(3.06360412739993), np.float64(-3.86056511056511)]","[np.float64(84.9349752560709), np.float64(-16.153623468107693), np.float64(27.466174661746617), np.float64(-5.321998369628508)]",31.112,,2458700000.0,EPIGRAL.NS
52.90424,4.4629555,N/A - Requires daily EPS or specialized API,"[np.float64(-15.011840123162862), np.float64(41.97637000054066), np.float64(0.7645914914711763), np.float64(13.053241306678201)]","[np.float64(-25.227352221056314), np.float64(12.392415333271996), np.float64(203.02116335065264), np.float64(-64.8166932328648)]",12.584,,-873384000.0,ACI.NS
62.9386,7.3763747,N/A - Requires daily EPS or specialized API,"[np.float64(2.297643233179654), np.float64(199.17204523643755), np.float64(241.1194556775146), np.float64(-31.400264200792606)]","[np.float64(76.6826923076923), np.float64(492.64705882352945), np.float64(88.56152512998267), np.float64(-79.34121016827784)]",63.243,,-1049600000.0,RELTD.NS
31.250631,3.3509336,N/A - Requires daily EPS or specialized API,"[np.float64(10.825110825110826), np.float64(-11.111581890981505), np.float64(19.097239743654438), np.float64(10.115855860861835)]","[np.float64(0.5413385826771654), np.float64(-37.41915614413305), np.float64(32.20684039087948), np.float64(42.211928199189344)]",32.141,,-1439600000.0,KDDL.NS
92.58133,4.7711554,N/A - Requires daily EPS or specialized API,"[np.float64(-2.9081348099753006), np.float64(-13.706805274809893), np.float64(-3.0437564994800415), np.float64(27.576412157909957)]","[np.float64(-165.5427024366232), np.float64(-169.51240376390078), np.float64(10.554189521467752), np.float64(26.634730538922156)]",9.59,,1152400000.0,TTKPRESTIG.NS
37.739876,2.995235,N/A - Requires daily EPS or specialized API,"[np.float64(-2.10688835207862), np.float64(-13.42990668536596), np.float64(2.8434933386486607), np.float64(14.932772187881909)]","[np.float64(-54.73178616982316), np.float64(-20.033326039755607), np.float64(9.571179863969666), np.float64(20.24855519530921)]",48.333,,-1671370000.0,GANECOS.NS
64.95177,2.2447562,N/A - Requires daily EPS or specialized API,"[np.float64(-12.636417440465241), np.float64(2.2251413892600995), np.float64(22.956508128047442), np.float64(-18.82038397343493)]","[np.float64(-16.7778164187959), np.float64(57.52956720698656), np.float64(48.56609374251927), np.float64(-66.5486867392697)]",11.583,,-1105673000.0,APOLLOPIPE.NS
41.48928,8.329019,N/A - Requires daily EPS or specialized API,"[np.float64(9.672823566345796), np.float64(3.340453116816532), np.float64(7.520446248485617), np.float64(11.420043424672956)]","[np.float64(-29.051321448943202), np.float64(30.264840223403848), np.float64(4.523732335730162), np.float64(35.263943264738266)]",69.763,,1102150000.0,LUMAXTECH.NS
120.69124,1.7146224,N/A - Requires daily EPS or specialized API,"[np.float64(-7.984096758523878), np.float64(29.565209809049865), np.float64(-14.40249878809696), np.float64(-15.06273593332268)]","[np.float64(-122.26794721358701), np.float64(1148.374611659753), np.float64(-122.07082798643964), np.float64(-140.05834089064228)]",62.633,,-654936000.0,GODAVARIB.NS
34.23723,10.696561,N/A - Requires daily EPS or specialized API,"[np.float64(-8.695813956239146), np.float64(19.20393549681476), np.float64(-6.603136368375136), np.float64(16.392347504432195)]","[np.float64(14.427799591197694), np.float64(43.431812871569875), np.float64(-7.394165447414154), np.float64(45.26867235443796)]",5.008,,1715631000.0,TI.NS
37.03965,7.372683,N/A - Requires daily EPS or specialized API,"[np.float64(-19.215104184459562), np.float64(5.913319349764027), np.float64(10.465340799382119), np.float64(0.4753128334465031)]","[np.float64(-51.359207512413604), np.float64(17.00315699658703), np.float64(22.466039707419018), np.float64(47.004608294930875)]",8.639,,2959472000.0,KIRLOSBROS.NS
,,N/A - Requires daily EPS or specialized API,[],[],,,,ETL.NS
22.17107,2.510251,N/A - Requires daily EPS or specialized API,"[np.float64(17.402783429727727), np.float64(10.03622962394816), np.float64(-0.8056721831612944), np.float64(-3.5494848032726027)]","[np.float64(-266.4060468923018), np.float64(-168.14453688879556), np.float64(-43.180115053518904), np.float64(86.87070659216631)]",76.23,,-809616000.0,SALZERELEC.NS
12.049041,1.2652515,N/A - Requires daily EPS or specialized API,"[np.float64(3.647661613249071), np.float64(7.895410124593762), np.float64(0.06761796202347564), np.float64(-3.6661855422552554)]","[np.float64(-17.45526549156331), np.float64(11.583578905133828), np.float64(14.415088799304371), np.float64(-43.29446183792404)]",,,39998970000.0,JSFB.NS
25.704802,5.385264,N/A - Requires daily EPS or specialized API,"[np.float64(7.923148608519175), np.float64(11.270009914617713), np.float64(-14.925094723600113), np.float64(14.16397630052516)]","[np.float64(-0.6145793340738375), np.float64(21.283394708031793), np.float64(-3.776175939939632), np.float64(-10.51967130330992)]",67.421,,572811000.0,PGIL.NS
7.5352373,1.1333649,N/A - Requires daily EPS or specialized API,"[np.float64(-4.055225675677359), np.float64(-19.235784341623507), np.float64(-5.3952676994644575), np.float64(12.812912526219458)]","[np.float64(45.579937131878864), np.float64(-42.48323525927096), np.float64(1.3630631892876444), np.float64(13.274837890536434)]",44.359,,13038283000.0,JINDALSAW.NS
31.847013,4.6632547,N/A - Requires daily EPS or specialized API,"[np.float64(-20.319541838179067), np.float64(6.75107683757121), np.float64(6.45268646230078), np.float64(11.343050065876154)]","[np.float64(-39.64283023133148), np.float64(32.5906683984414), np.float64(37.14716360646753), np.float64(-7.643634522905593)]",0.328,,5044500000.0,RITES.NS
43.485176,7.9615107,N/A - Requires daily EPS or specialized API,"[np.float64(-1.0412019556730494), np.float64(6.829087318461104), np.float64(0.5608797294093946), np.float64(1.704311623538367)]","[np.float64(-17.061148797032843), np.float64(22.46044433819904), np.float64(12.06905212397234), np.float64(3.557216302679833)]",10.722,,358363000.0,NDRAUTO.NS
45.267487,1.3298677,N/A - Requires daily EPS or specialized API,"[np.float64(5.935367794529588), np.float64(-7.616570325322765), np.float64(4.353487349611879), np.float64(15.729523487348235)]","[np.float64(-464.81415387753026), np.float64(-92.0965356608921), np.float64(722.2292170570889), np.float64(-118.74957289912965)]",85.458,,811907000.0,ESTER.NS
,2.6225863,N/A - Requires daily EPS or specialized API,"[np.float64(-0.8484232736378978), np.float64(10.405535332469135), np.float64(2.108278528185679), np.float64(7.010352654019085)]","[np.float64(-127.73229992162327), np.float64(-587.3938879456706), np.float64(-452.69461077844306), np.float64(-159.66283353801495)]",22.196,,399090000.0,CHEMFAB.NS
28.416338,2.3705819,N/A - Requires daily EPS or specialized API,"[np.float64(11.634664350118323), np.float64(-10.155692812832209), np.float64(-4.864747225173787), np.float64(13.455203546301192)]","[np.float64(-7.376861397479955), np.float64(27.74363476733977), np.float64(-31.755542240862795), np.float64(-4.186918749282407)]",59.965,,1530600000.0,SANATHAN.NS
23.203442,2.9929762,N/A - Requires daily EPS or specialized API,"[np.float64(1.0002331175672887), np.float64(5.5846488542749215), np.float64(18.504246116917454), np.float64(-18.929623304361094)]","[np.float64(-25.912478376120664), np.float64(29.274763398892883), np.float64(20.948433675463317), np.float64(-27.78652486483275)]",39.153,,2948720000.0,GRANULES.NS
36.23144,7.998805,N/A - Requires daily EPS or specialized API,"[np.float64(-20.716943463673385), np.float64(1.197810127959206), np.float64(34.85113020829607), np.float64(33.5931852209438)]","[np.float64(-54.976109022024936), np.float64(1.4019495412844036), np.float64(84.81918134852299), np.float64(838.23017648521)]",202.845,,-2541031000.0,ARIHANTSUP.NS
49.538902,5.087831,N/A - Requires daily EPS or specialized API,"[np.float64(-7.2939799376407874), np.float64(-25.763014750834728), np.float64(23.444551746044496), np.float64(23.79343542088516)]","[np.float64(56.25504728747555), np.float64(-68.58693936455678), np.float64(93.66876470491901), np.float64(97.11303599289826)]",11.522,,-1172270000.0,BOROLTD.NS
23.056818,2.0806901,N/A - Requires daily EPS or specialized API,"[np.float64(0.6496190869899013), np.float64(-3.543150099686699), np.float64(4.0049765981397), np.float64(7.921994884910485)]","[np.float64(4.689462665736218), np.float64(281.92963752665247), np.float64(-70.93725793958173), np.float64(-8.087711804072335)]",409.774,,-9984700000.0,FEDFINA.NS
18.255383,1.73191,N/A - Requires daily EPS or specialized API,"[np.float64(-17.56525311825842), np.float64(6.187674458987886), np.float64(6.3258693996679245), np.float64(14.032369365312586)]","[np.float64(-24.428430987975382), np.float64(38.73395099468561), np.float64(-21.062289517647372), np.float64(4.456238123992444)]",17.789,,94672000.0,BHARATWIRE.NS
37.87021,6.8532557,N/A - Requires daily EPS or specialized API,"[np.float64(31.05724673293907), np.float64(-14.399310344827587), np.float64(-8.02790877251041), np.float64(3.7896785642728337)]","[np.float64(189.97323766678497), np.float64(-20.41908396946565), np.float64(-55.68335588633288), np.float64(0.6811989100817438)]",67.671,,332016000.0,EVEREADY.NS
39.675663,2.2896624,N/A - Requires daily EPS or specialized API,"[np.float64(16.097998527011427), np.float64(-8.299786818330125), np.float64(-11.13240136108906), np.float64(29.08197450728924)]","[np.float64(-62.56620318847964), np.float64(-1089.7942932979429), np.float64(-119.63031953001864), np.float64(-241.60364481499244)]",106.792,,368779000.0,BIL.NS
,9.061913,N/A - Requires daily EPS or specialized API,"[np.float64(60.59985920510983), np.float64(10.608729506834615), np.float64(27.97907311648934), np.float64(-5.500231838037803)]","[np.float64(-1765.2662929222147), np.float64(-99.56769149835189), np.float64(1807.8872913806804), np.float64(-20.489300149588804)]",117.978,,-1486116000.0,NITCO.NS
79.34019,9.056585,N/A - Requires daily EPS or specialized API,"[np.float64(-14.337704290025833), np.float64(31.772621640918825), np.float64(12.190268703777873), np.float64(40.13613467609027)]","[np.float64(-31.510496323737662), np.float64(63.91339065198418), np.float64(29.73018549747049), np.float64(-407.5270410431175)]",16.557,,-552350000.0,SAILIFE.NS
38.167736,11.63876,N/A - Requires daily EPS or specialized API,"[np.float64(-0.06025911419102139), np.float64(-5.216563541170871), np.float64(6.9428891377379625), np.float64(-5.210846280034739)]","[np.float64(-16.051660516605164), np.float64(-0.1841620626151013), np.float64(10.929519918283964), np.float64(-14.572425828970331)]",4.668,,2045000000.0,AKZOINDIA.NS
,-0.107867114,N/A - Requires daily EPS or specialized API,"[np.float64(-61.299817507505736), np.float64(-0.11759863585582409), np.float64(-2.3876485105894507), np.float64(-5.23252651618167)]","[np.float64(13.923515485336038), np.float64(-0.9795830492662096), np.float64(-6.089095565440086), np.float64(15.103560623690948)]",,,3040800000.0,MTNL.NS
21.748951,2.1200569,N/A - Requires daily EPS or specialized API,"[np.float64(4.387742935495409), np.float64(-9.81720430107527), np.float64(6.77382319173364), np.float64(-5.623577852421715)]","[np.float64(-5.733788395904437), np.float64(15.12770137524558), np.float64(24.754901960784316), np.float64(-20.745920745920746)]",0.645,,745700000.0,NOVARTIND.NS
24.816326,2.4851828,N/A - Requires daily EPS or specialized API,"[np.float64(-1.5472132850227127), np.float64(1.1123584655126628), np.float64(34.695868494219795), np.float64(-14.434180138568129)]","[np.float64(-8.480913026367572), np.float64(32.12010919017288), np.float64(-324.8757673194972), np.float64(7.986111111111111)]",115.788,,11443800000.0,JAYNECOIND.NS
79.36441,7.9531217,N/A - Requires daily EPS or specialized API,"[np.float64(8.224863233352197), np.float64(-16.361628273903438), np.float64(45.754760371630944), np.float64(-11.761363636363637)]","[np.float64(-78.86020457866537), np.float64(-983.9612486544672), np.float64(-127.78525497233437), np.float64(-800.9433962264151)]",9.105,,3143000000.0,GEPIL.NS
101.04558,4.3545403,N/A - Requires daily EPS or specialized API,"[np.float64(-2.576036801671637), np.float64(27.818988055569793), np.float64(32.71783427789987), np.float64(15.642924019858537)]","[np.float64(-23.631304972177347), np.float64(58.087400681044265), np.float64(69.08774665627062), np.float64(325.7660878447395)]",44.566,,-4400440000.0,ANURAS.NS
19.949903,1.5716217,N/A - Requires daily EPS or specialized API,"[np.float64(1.9429663198117824), np.float64(12.003041878890777), np.float64(0.5548442168160478), np.float64(3.1363486299108616)]","[np.float64(103.8244514106583), np.float64(-55.31587057010786), np.float64(2.986151182919792), np.float64(-9.633685308304003)]",7.617,,441500000.0,GAEL.NS
84.85095,3.9117453,N/A - Requires daily EPS or specialized API,"[np.float64(34.2487735546284), np.float64(63.684803001876176), np.float64(144.89983458922993), np.float64(-55.77501422417297)]","[np.float64(-37.46312684365782), np.float64(86.77685950413223), np.float64(-244.2384105960265), np.float64(38.53211009174312)]",33.346,,1938600000.0,ASHIANA.NS
47.40186,7.2069173,N/A - Requires daily EPS or specialized API,"[np.float64(12.986086865356029), np.float64(13.967214075651327), np.float64(-15.907417009252423), np.float64(34.14343242456262)]","[np.float64(0.6697235352898238), np.float64(23.171668499799228), np.float64(-13.75333142607622), np.float64(30.119514106583072)]",,,-526679000.0,SIRCA.NS
