PE Ratio,Price to Book,Median PE last 50 days,Sales Growth Last 4 Quarters,Profit Growth Last 4 Quarters,Debt To Equity,PEG Ratio,FCF,Ticker
33.232456,4.0353847,N/A - Requires daily EPS or specialized API,"[np.float64(-38.20287387319839), np.float64(-13.519650996023714), np.float64(35.9086801709911), np.float64(-10.709876292511758)]","[np.float64(-56.18048455396282), np.float64(-3.4697012984158886), np.float64(61.14257199426943), np.float64(3.432142999853484)]",23.599,,-4854038000.0,REFEX.NS
112.46053,4.743063,N/A - Requires daily EPS or specialized API,"[np.float64(-31.007205829072902), np.float64(57.968871719050576), np.float64(11.904571291329757), np.float64(-4.821774181258477)]","[np.float64(-144.37111801242236), np.float64(1456.4954682779455), np.float64(-170.35069075451648), np.float64(-111.98252919229348)]",7.707,,16127400000.0,NIVABUPA.NS
62.479225,1.542834,N/A - Requires daily EPS or specialized API,"[np.float64(19.058649124432502), np.float64(4.691802031024989), np.float64(-15.501740139211137), np.float64(10.62149966173568)]","[np.float64(12.360362095531586), np.float64(410.2702702702703), np.float64(-125.81340775036469), np.float64(-154.73512462681387)]",376.166,,-48415300000.0,IIFL.NS
11.123004,1.4443682,N/A - Requires daily EPS or specialized API,"[np.float64(-12.64666737740303), np.float64(34.291763435613646), np.float64(21.528273985299993), np.float64(-31.324272751693616)]","[np.float64(-39.57452434561157), np.float64(54.33009067694575), np.float64(35.202561576456475), np.float64(24.518617488338943)]",58.458,,-21874308000.0,GRINFRA.NS
10.9611225,1.7240013,N/A - Requires daily EPS or specialized API,"[np.float64(9.24917295222972), np.float64(-5.523879692655691), np.float64(-32.51057486781415), np.float64(18.62676408767891)]","[np.float64(348.6277352035215), np.float64(-77.10411170844915), np.float64(-33.957792592389644), np.float64(20.7151076883269)]",22.791,,-84965000.0,SHAREINDIA.NS
40.159412,4.583074,N/A - Requires daily EPS or specialized API,"[np.float64(-6.29665262249942), np.float64(37.57644910999544), np.float64(-22.69696221289207), np.float64(48.71189464295084)]","[np.float64(81.08108108108108), np.float64(1807.8125), np.float64(-97.14285714285714), np.float64(99.37694704049844)]",0.196,,561393000.0,VSTTILLERS.NS
25.25303,4.626759,N/A - Requires daily EPS or specialized API,"[np.float64(5.114110777285953), np.float64(-1.064803213133907), np.float64(9.27061572896854), np.float64(6.010665011913129)]","[np.float64(-17.7106003443014), np.float64(31.34453630911133), np.float64(18.384724186704386), np.float64(-17.25284114184057)]",114.675,,-1124548000.0,LUMAXIND.NS
38.90771,2.2419784,N/A - Requires daily EPS or specialized API,"[np.float64(-5.809356468262684), np.float64(101.99645075421473), np.float64(-8.131241084165477), np.float64(-41.52067691574306)]","[np.float64(-25.59627690517743), np.float64(2585.9375), np.float64(-69.377990430622), np.float64(-85.84969532836831)]",3.32,,3137000000.0,ZYDUSWELL.NS
11.284944,1.6145821,N/A - Requires daily EPS or specialized API,"[np.float64(-0.2891129554248234), np.float64(-4.497438081239611), np.float64(4.157903020417508), np.float64(4.19362533170339)]","[np.float64(-3.7271289812514117), np.float64(-8.721649484536083), np.float64(10.002268088001815), np.float64(-12.118796093282839)]",2.598,,1349100000.0,PANAMAPET.NS
28.816477,4.5230412,N/A - Requires daily EPS or specialized API,"[np.float64(-17.84729766028438), np.float64(27.46895619325045), np.float64(12.47783635839459), np.float64(6.543617082983985)]","[np.float64(-26.194829276665686), np.float64(36.367859954746315), np.float64(36.4091995394425), np.float64(1.928548534234079)]",2.646,,-225344000.0,INTERARCH.NS
14.227446,0.80726135,N/A - Requires daily EPS or specialized API,"[np.float64(9.838265449720557), np.float64(5.048871265087481), np.float64(16.636534513842378), np.float64(-13.720230365503808)]","[np.float64(-17.58599029382407), np.float64(77.8764154721727), np.float64(12.895162010304379), np.float64(-48.77201006174251)]",57.519,,-15797621000.0,GIPCL.NS
25.381958,5.2140427,N/A - Requires daily EPS or specialized API,"[np.float64(2.441869358128592), np.float64(7.461514281381038), np.float64(-2.856660767932837), np.float64(5.902397031612338)]","[np.float64(-2.23789274023312), np.float64(25.142186243773367), np.float64(-6.280299164380939), np.float64(2.608030467588303)]",2.128,,1034964000.0,FIEMIND.NS
166.88889,10.774749,N/A - Requires daily EPS or specialized API,"[np.float64(-4.133036459782911), np.float64(11.774770570850832), np.float64(2.2383015942432314), np.float64(0.3831264716446502)]","[np.float64(-432.694248234107), np.float64(-369.65986394557825), np.float64(-78.89050901378579), np.float64(-9.206884101576604)]",1.77,,-218964000.0,INDOTHAI.NS
23.748388,3.1373851,N/A - Requires daily EPS or specialized API,"[np.float64(75.00428718417743), np.float64(20.297063744928597), np.float64(-43.94685956200253), np.float64(21.954238662493488)]","[np.float64(-1429.5389636882906), np.float64(-307.8880407124682), np.float64(-94.39319003233784), np.float64(39.563283998141635)]",29.298,,65600000.0,DHARMAJ.NS
51.81381,3.1420736,N/A - Requires daily EPS or specialized API,"[np.float64(-17.48632089381082), np.float64(11.406774711636736), np.float64(1.7530827514485217), np.float64(-0.08164477102352855)]","[np.float64(-121.83526810392482), np.float64(17.391304347826086), np.float64(130.0), np.float64(-66.26384692849949)]",0.475,,958400000.0,ADOR.NS
,35.505157,N/A - Requires daily EPS or specialized API,"[np.float64(6.4848444350780525), np.float64(34.87156805381858), np.float64(7.20615734038094), np.float64(19.493930792922278)]","[np.float64(11.05784149444548), np.float64(-30.999855473538275), np.float64(54.363597303014274), np.float64(-4.884508680514623)]",,,-959421000.0,ZOTA.NS
116.70797,3.229108,N/A - Requires daily EPS or specialized API,"[np.float64(3.8756366230029773), np.float64(2.0849866236879353), np.float64(-2.7164050810225717), np.float64(-1.043951500163425)]","[np.float64(-1578.361344537815), np.float64(-80.6896551724138), np.float64(-364.2015005359057), np.float64(43.759630200308166)]",113.76,,4968300000.0,TVSSCS.NS
37.88125,10.050159,N/A - Requires daily EPS or specialized API,"[np.float64(-50.42840705258762), np.float64(-20.23827918057078), np.float64(104.47120584404045), np.float64(18.54750920422566)]","[np.float64(-146.34893910941312), np.float64(-38.8767217267402), np.float64(5.9431957955943195), np.float64(3.1738907065408433)]",,,101052000.0,WEALTH.NS
41.43617,6.5438614,N/A - Requires daily EPS or specialized API,[],[],,,-316309000.0,AIMTRON.NS
46.515564,6.2644653,N/A - Requires daily EPS or specialized API,"[np.float64(3.9626412613812265), np.float64(6.341454412384935), np.float64(-5.440547846029286), np.float64(5.412686758180166)]","[np.float64(-32.9954959836659), np.float64(40.30617830598368), np.float64(-2.292716554150423), np.float64(1.4102162331557504)]",62.521,,-156368000.0,RAMRAT.NS
25.055202,2.7475495,N/A - Requires daily EPS or specialized API,"[np.float64(-7.267084127416281), np.float64(3.7898996292612357), np.float64(1.5390618723531235), np.float64(14.959165094401857)]","[np.float64(3.9186134137151467), np.float64(-26.420848350429722), np.float64(23.4851078397809), np.float64(6.996336996336996)]",63.932,,768300000.0,PARAGMILK.NS
103.902435,0.5220204,N/A - Requires daily EPS or specialized API,"[np.float64(1.8150375864033519), np.float64(29.4853046782175), np.float64(2.3971870153484143), np.float64(-5.598152250052062)]","[np.float64(-1187.4000326424025), np.float64(-214.953095684803), np.float64(-86.46761621854927), np.float64(-15.715477948257044)]",0.232,,1100568000.0,OSWALGREEN.NS
16.017876,1.6181133,N/A - Requires daily EPS or specialized API,"[np.float64(9.162658618474326), np.float64(-9.67744235051911), np.float64(-3.3357757620722213), np.float64(18.534251565676175)]","[np.float64(176.96520390498807), np.float64(-34.71624710113266), np.float64(-1.8878501591070223), np.float64(17.2147226221651)]",8.069,,296269000.0,BLISSGVS.NS
