ticker,actual_monthly_return,actual_class,prophet_prediction,prophet_mape,prophet_monthly_return,prophet_class,prophet_lower_interval,prophet_upper_interval,prophet_ci_width,xgboost_prediction,xgboost_mape,xgboost_monthly_return,xgboost_class,xgboost_lower_interval,xgboost_upper_interval,xgboost_ci_width,lstm_prediction,lstm_mape,lstm_monthly_return,lstm_class,lstm_lower_interval,lstm_upper_interval,lstm_ci_width
REFEX.NS,2.9884448661833414,profit,504.5095034839321,7.244227222696485,11.420194164224487,stellar,462.2223086470748,541.0547648997751,78.83245625270035,418.3631896972656,8.460837504220727,-7.605094640762881,disaster,354.7089672486606,482.01741214587065,127.30844489721005,,,,disaster,,,
NIVABUPA.NS,-11.402272824344074,disaster,87.31910624314578,19.18998635042337,-3.2582493058730178,disaster,81.33114146874907,93.0833704303669,11.752228961617831,81.54012298583984,3.656457671391548,-9.660845273667979,disaster,74.58677550762138,88.4934704640583,13.906694956436922,,,,disaster,,,
IIFL.NS,10.07833665816637,stellar,557.0347551531256,9.153445996968664,6.936980043283639,profit,533.288047360383,581.5316306775858,48.24358331720282,365.2744140625,27.754726746811713,-29.87629162172125,disaster,302.0278028577877,428.5210252672123,126.49322240942456,,,,disaster,,,
GRINFRA.NS,3.323542926045471,profit,1515.1341760679175,12.03504192723559,19.726130072533977,stellar,1449.2420812133857,1587.294644635374,138.05256342198822,1276.8037109375,2.9911892917078773,0.8932209354010272,breakeven,1171.70441874233,1381.90300313267,210.19858439033987,,,,disaster,,,
SHAREINDIA.NS,2.128024285689065,profit,192.40915918449238,5.88228070836797,10.665679076044352,stellar,174.93067205850642,207.8130677306248,32.88239567211838,175.94337463378906,6.024561331405402,1.1952503472529086,breakeven,161.16527998179342,190.7214692857847,29.55618930399129,,,,disaster,,,
VSTTILLERS.NS,-3.1763145045230265,disaster,4556.776193941125,14.142722606964304,0.5711071123859849,breakeven,4332.562132406897,4805.179652125774,472.6175197188768,3871.89453125,16.188157317377723,-14.5446905757697,disaster,3210.675937899706,4533.113124600294,1322.4371867005884,,,,disaster,,,
LUMAXIND.NS,23.70710349051365,stellar,4034.400653903241,24.480034206094146,15.518151542284016,stellar,3906.3432903619673,4160.956904994314,254.61361463234653,2301.34375,38.49262326148725,-34.104964065434615,disaster,1854.5639360491182,2748.123563950882,893.5596279017636,,,,disaster,,,
ZYDUSWELL.NS,4.2660072341129025,profit,2223.350111515642,3.9040876796007393,10.746669583253796,stellar,2150.1325883868462,2298.6610346545413,148.52844626769502,1634.9974365234375,10.662338592076924,-18.559600697033886,disaster,1518.3645239928157,1751.6303490540593,233.2658250612435,,,,disaster,,,
PANAMAPET.NS,-1.2116188821246656,loss,376.087071342372,12.964468463123389,6.4045999019746,profit,352.8830829282809,399.51097880386425,46.62789587558336,362.4009704589844,4.873046775275647,2.5324537962415334,profit,334.8920262978959,389.90991462007287,55.01788832217699,,,,disaster,,,
INTERARCH.NS,0.8366650448002351,breakeven,2555.6346391004263,5.006588989702545,11.922341613365509,stellar,2434.9951823713454,2680.5002202839014,245.50503791255596,1520.7745361328125,31.430742936970763,-33.398677359500454,disaster,1322.8825161022517,1718.6665561633733,395.7840400611217,,,,disaster,,,
GIPCL.NS,5.306533967865,profit,222.26247792306037,6.201193682961411,3.0854214989457183,profit,205.8923707401376,237.30145768167444,31.409086941536827,195.9192657470703,3.8635726875300516,-9.13257029244492,disaster,179.90650676087435,211.93202473326627,32.025517972391924,,,,disaster,,,
FIEMIND.NS,14.525696287755085,stellar,2181.982656927102,12.0458757670967,14.135945722069163,stellar,2106.92316974264,2259.835889212674,152.91271947003406,1373.9649658203125,24.571673354709187,-28.130138768499407,disaster,1056.9644445864992,1690.9654870541258,634.0010424676266,,,,disaster,,,
INDOTHAI.NS,-4.898220446101648,disaster,167.02432791100625,6.925644338519751,-10.710191689180958,disaster,153.64822367381305,180.04868553504036,26.400461861227313,197.83755493164062,8.088710089530574,5.76230168062408,profit,171.45825868445712,224.21685117882413,52.75859249436701,,,,disaster,,,
DHARMAJ.NS,33.27913329469233,stellar,394.79193541989184,18.369257806069857,12.428290554455396,stellar,375.28465272417475,413.6383050353076,38.35365231113286,239.75039672851562,28.294409002001725,-31.724220163537375,disaster,213.07325627302592,266.4275371840053,53.354280910979384,,,,disaster,,,
ADOR.NS,4.914662840921539,profit,-118.28333303039994,46.381273521676185,-110.7569421295568,disaster,-152.42964215427682,-80.44830866219571,71.9813334920811,,,,,,,,,,,disaster,,,
ZOTA.NS,-1.2637889253698709,loss,1233.4715644375704,11.216322793904464,-4.522676590473184,disaster,1159.3591562794995,1304.1375574090148,144.77840112951526,943.2354736328125,19.43842375318075,-26.988508722986193,disaster,597.2557899111902,1289.2151573544347,691.9593674432446,,,,disaster,,,
